Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,40.759998,40.770000,39.270000,39.380001,34.231163,2390400
2020-06-22,39.750000,40.020000,39.480000,39.980000,34.752716,1600900
2020-06-23,40.860001,40.959999,40.400002,40.570000,35.265572,1453300
2020-06-24,40.169998,40.169998,38.930000,39.070000,33.961689,1831600
2020-06-25,38.110001,39.220001,37.990002,39.169998,34.737751,1565300
2020-06-26,39.150002,39.240002,38.279999,38.750000,34.365273,2221600
2020-06-29,38.810001,39.279999,38.560001,38.900002,34.498302,1471000
2020-06-30,37.980000,38.689999,37.790001,38.459999,34.108086,1348300
2020-07-01,38.250000,38.759998,38.169998,38.360001,34.019402,1237300
2020-07-02,39.060001,39.549999,38.750000,38.970001,34.560383,1524800
2020-07-06,39.740002,40.090000,39.410000,39.580002,35.101364,1106000
2020-07-07,39.220001,39.250000,38.529999,38.540001,34.179039,1413800
2020-07-08,38.549999,39.060001,38.509998,38.869999,34.471691,2166700
2020-07-09,38.299999,38.340000,37.080002,37.180000,32.972927,2728200
2020-07-10,37.470001,37.900002,37.349998,37.770000,33.496170,2240200
2020-07-13,38.330002,38.400002,37.630001,37.759998,33.487293,1520400
2020-07-14,38.060001,39.130001,37.950001,39.040001,34.622452,1894800
